Normalized microRNA counts            		Counts for each miRNA were tabulated and adjusted to counts per million miRNAs passing the mismatch filter.																																				
																																						
"Abbreviations: HC, healthy controls; GBM, glioblastoma; GII-III, glioma grade II-III"																																						
miRNA	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	GBM1	GBM2	GBM3	GBM4	GBM5	GBM6	GBM7	GBM8	GBM9	GBM10	GBM11	GBM12	GII-III.1	GII-III.2	GII-III.3	GII-III.4	GII-III.5	GII-III.6	GII-III.7	GII-III.8	GII-III.9	GII-III.10
hsa-miR-24-2-5p	94.4	127.9	98.6	62.5	76.4	89.9	135.3	128.2	138.9	131.4	119.7	104.2	88	61.1	124.6	76.9	68	40.9	58.3	79.4	75.6	280.7	56.6	41.6	101.3	124.5	129.9	158.1	66.7	207	141.1	93.8	102.5	65.6	85.8	115.9	107.8	95.7
hsa-miR-24-3p	4464.3	5839.8	5392	3751.1	4091.5	4954.4	6239.7	9612	7989.5	6110.5	6177.4	6454.2	7780.2	3772.8	5689.9	6357.9	3261.7	2534	3503.4	2950.4	5187.7	11442.4	3757.4	1714.1	6816.6	7112.3	5963.3	5522.3	3123.8	14729.1	8707.9	6518.1	7439.8	2694.8	5678	6062.1	7538.1	6517.6
hsa-miR-2467-3p	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-2467-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-25-3p	22699.1	13041.5	16641.2	3021.3	17777.7	4194.1	23411.1	14599	8317	2949	2609.1	2138.6	16329.2	2650.7	2101.2	18865.9	10268.4	20577.4	12074.2	26979.7	29762.3	17685.7	22927.4	35535.2	17413.7	16300.2	25343.7	27197.9	15438.2	25645.2	15737.9	13010.6	11625.2	9368.5	17605.9	10769.3	17147.6	39449.5
hsa-miR-25-5p	7.3	12.4	16	18.4	14.6	10.1	84.1	68.2	66.4	16.8	14.1	28.9	34.6	14.5	17.1	35.3	19.8	52.6	17.6	39.5	47.3	157.2	62.5	108.2	65.3	249.1	90.3	85.1	31.8	76.3	26.6	25.6	81.1	14.5	45.2	95	93.6	44.6
hsa-miR-2681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-1-3p	7.3	0	4.4	0.9	3.3	0.4	2.8	0	0	0	3.3	0.7	2.5	0.8	2.8	1.4	2.2	1.5	0.9	0.8	0	0	1.2	4.2	0	0	0	0	1.6	0	1.1	8.5	0	0	0	0	0	0.8
hsa-miR-26a-2-3p	7.3	4.1	3.9	3.1	0.6	7	4.2	0	0	16.8	7.6	2.9	2.5	3.2	6.5	2.7	2.7	4.4	3.7	1.2	0	0	0	0	2.7	0	0	0	3.2	0	0	0	4.3	3	6.5	9.5	0	0
hsa-miR-26a-5p	86995.1	89293.2	99973.9	81338.4	80551.2	90555.1	69460.9	80902.1	131330.2	134344.7	137634.2	108985.5	97858.1	83311	131284.6	88497.9	92540.4	66956.7	80589.2	54993.6	50338.1	62040.3	58934.5	26323.8	71813	40556.8	57535.6	53337.6	71513.3	67348.7	84200.3	86185.7	70895.9	92080	66934.8	71114.7	73895.9	48489.2
hsa-miR-26b-3p	46	28.9	63.4	37.8	18.5	68.1	42.8	15.5	77	69.9	104.8	47.8	28.7	60.3	94.7	31.5	26.3	14.6	25.9	17.2	4.7	11.2	13.7	12.5	15.3	27.7	13.7	27.4	31.8	43.6	35.3	25.6	4.3	22	14.7	9.5	26.1	19.5
hsa-miR-26b-5p	10937	10325.9	11873	3954.4	6858.8	11539.6	7750.4	5945.5	11787.2	12265.8	14653.7	6371.7	8075.1	3837.9	13391.8	8567.8	9444.4	8188	8553.2	9268.2	5476	8219.6	6766.6	4684.8	12730	5507.2	5916.5	4892.8	8358.3	6819.8	8343.9	7311.5	3852.3	8165.5	7181.7	6229.3	4521	4193.4
hsa-miR-27a-3p	5347.5	4997.9	3845.2	1921.4	3081.9	6608.2	2309.1	1805.4	6058.9	3787.6	3687.3	2646.7	4338.1	1859.1	3921.4	2812.6	2951.7	2859.9	2517.9	3997.2	3989.4	2998.1	2605	2142.7	2944.7	3514.6	3697.5	1496.1	3470.1	3867.5	1942.6	1382.1	1584.5	2589.2	4354.2	1831.9	2219.6	1586
hsa-miR-27a-5p	118.6	132.1	38	25.2	44.5	38.9	78.5	67.2	64.9	123	18.1	26.1	219.1	19.3	61.8	47.6	68	77.5	95.3	78.2	125.3	146	113.1	124.8	57.3	110.7	114.5	115.6	135	108.9	87.8	59.7	153.8	62.1	145.7	81.7	103.1	63.3
hsa-miR-27b-3p	8144.7	9459.2	7888.9	4460.7	6623.2	6933.3	4461.3	7127.3	7201.5	5870.1	4479.5	4316.3	8940.6	4009.1	5027.3	6978.4	6278.7	4720.2	7303.9	4277.7	7246.2	3941.4	5463.5	3578.1	3820.5	3888.3	8047.6	4281.6	7392.7	5055	5516.7	5204.2	4475.8	6860.9	8955.1	4806	3357.2	3394.3
hsa-miR-27b-5p	31.5	57.8	32	20.2	32.5	26.5	42.1	71.3	89.1	36.3	21.9	24.6	38.7	14.5	31.6	40	50.5	29.2	62.9	25.8	26	44.9	32.7	4.2	45.3	41.5	41.1	69.9	55.6	65.4	47.7	34.1	25.6	43	33.5	115.9	40.3	49.5
hsa-miR-28-3p	1555.9	2455.6	1648.2	1146.2	2169.9	902.8	2255.9	2823.8	1935.1	729.6	1148.3	1159.4	2325.7	1348.7	852.7	2301.5	1988.8	1695.2	1999.7	1598.4	1935.6	1953.8	2288.3	699	1011.8	1286.9	1967.3	2107.4	1913.7	1950.1	2666.9	2423	2203.8	1922.1	2439.2	2795.4	2427	2238.2
hsa-miR-28-5p	372.6	400.3	392.9	278.3	279.7	410.7	630.2	817.9	863.4	402.5	546	302.5	543.2	196.9	499	339.8	251.3	187.1	184.1	175.6	286	550.2	274.4	95.7	482.6	359.8	431.5	577.8	208	566.5	661.3	554.6	602.2	319.3	192.7	583.4	712.2	434.8
hsa-miR-296-3p	0	0	1.1	1.8	2.1	0.4	10.5	5.2	16.6	0	0.4	2.2	2.1	0.8	1.3	1.4	0	0	0	0.4	0	44.9	0	25	4.7	41.5	8.9	9.1	0	0	6	0	17.1	0	4.1	0	3.6	8.1
hsa-miR-296-5p	0	0	0.6	0.4	0	2.7	0	0	0	0	1.8	0	0	0	0.7	0	0	0	0	0.4	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-3p	14.5	4.1	17.6	4	10.4	8.2	2.8	7.2	0	0	0.5	4.3	11.3	0	2	5.6	7.7	1.5	4.6	0	14.2	0	8.9	4.2	4	0	0.8	0	7.9	0	15.4	0	4.3	14	15.3	0	5.9	2.4
hsa-miR-299-5p	0	0	0.6	0	0	3.5	0	0	0	0	0.3	0.7	0.6	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-29a-3p	1473.6	916.2	830.4	494.2	502.4	2042.7	1321.4	1020.6	1430.9	1780.6	1251	780.2	578	616.5	1513.1	490.3	536	657.6	537.6	996.8	571.9	864.6	596.5	428.5	1678.3	608.8	857.4	1547.8	944.9	838.9	907.1	810.5	1106.1	702.1	974.8	824.8	600.8	537
hsa-miR-29a-5p	0	0	0.6	1.3	0	1.2	0	0	0	5.6	0	0	0.2	3.2	0.7	0	2.2	0	0	0	0	11.2	1.2	0	0	0	0	0	3.2	0	0	0	0	1	2.4	0	0	0.8
hsa-miR-29b-1-5p	0	0	0	0.4	0.9	0.8	2.1	0	0	2.8	1.4	0	0	0	0.4	0.6	0	0	0	0	0	0	0.6	0	4.7	0	0	3	1.6	10.9	1.5	0	0	0.5	0.6	0	0	0
hsa-miR-29b-2-5p	2.4	33	12.1	11.7	7.2	9	26.6	21.7	13.6	28	27.2	10.1	6.3	11.3	26.7	12.5	7.1	10.2	7.4	1.6	0	22.5	25.6	0	34	13.8	21.8	39.5	6.4	21.8	38.3	8.5	8.5	4	12.3	36.1	17.8	17.8
hsa-miR-29b-3p	96.8	28.9	70.5	78.7	35.5	156.5	78.5	49.6	27.2	123	107.9	40.5	47.3	70.7	91	43.2	48.3	108.1	50	85.7	56.7	89.8	50.6	49.9	93.3	96.9	37.1	73	88.9	98	47.7	0	47	57	59.3	47.5	30.8	35.7
hsa-miR-29c-3p	41.1	12.4	21.5	27.4	17.6	102.8	67.3	34.1	21.1	106.2	56.2	29.7	8.4	25.7	76.1	8.2	12.1	26.3	9.3	25	14.2	22.5	17.9	16.6	82	41.5	26.6	48.7	14.3	54.5	31.5	0	21.4	11.5	31.1	55.1	27.3	18.7
hsa-miR-29c-5p	0	12.4	4.4	4.9	2.4	19.1	9.1	9.3	22.6	25.2	7.6	7.2	3.1	7.2	9.5	1	1.1	0	0.9	5.5	0	22.5	1.2	0	19.3	13.8	12.9	18.2	0	10.9	7.9	8.5	0	4	2.4	1.9	4.7	13.8
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	14.5	4.1	11.6	19.3	1.8	8.6	21.7	26.9	0	19.6	15.1	13.8	6.3	23.3	17.8	5.9	11.5	2.9	10.2	1.6	0	11.2	3	0	22	0	12.9	9.1	1.6	10.9	15	8.5	4.3	12.5	8.8	20.9	1.2	4.9
hsa-miR-301a-5p	19.4	16.5	18.2	16.2	10.1	23	4.9	7.2	3	28	30.2	13	12.7	24.1	31.2	10.4	7.1	7.3	8.3	7.4	0	0	7.1	4.2	2.7	0	5.6	6.1	3.2	0	8.3	0	0	7	25.3	0	4.7	4.9
hsa-miR-301b	2.4	0	4.4	5.8	0.9	1.9	6.3	1	0	0	6.2	3.6	4.5	5.6	6.3	0.6	0	0	1.9	2	0	0	3	0	4	0	0.8	0	6.4	0	2.6	0	0	3.5	0	0	0	1.6
hsa-miR-302a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	0	0	0	0	2.7	0	0	0	0	0	0	0	1	0	0	1.9	0	0	0	0	0	134.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-3p	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	22.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	0	0	0	0	0	0	0	0	0	0	0.3	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-5p	9.7	4.1	3.3	2.7	7.5	0.8	10.5	8.3	0	0	3.9	5.8	9.4	5.6	3.7	14.4	4.9	4.4	4.6	3.1	9.5	22.5	4.8	8.3	2.7	13.8	12.9	3	4.8	10.9	5.6	8.5	4.3	3	3.5	1.9	14.2	7.3
hsa-miR-3065-3p	0	0	1.1	0	0.6	3.5	0.7	0	0	2.8	1.4	0.7	2.1	1.6	2.6	0	2.2	0	0	0.4	0	0	0	0	0.7	0	0	3	0	0	0	0	0	0.5	0	0	0	0
hsa-miR-3065-5p	9.7	0	2.8	2.7	4.8	5.1	0	6.2	13.6	16.8	11.4	3.6	2	5.6	14.5	2.7	7.1	4.4	3.7	2	0	0	0.6	0	2.7	0	4.8	0	3.2	0	6.8	0	4.3	3.5	1.8	3.8	3.6	4.9
hsa-miR-3074-3p	0	0	0.6	0.4	0	0.4	0	0	6	0	2.8	1.4	0.6	3.2	0.9	0	4.4	0	0	0.8	0	0	1.2	4.2	2	0	0	0	1.6	0	1.9	0	8.5	1.5	4.1	0	2.4	2.4
hsa-miR-3074-5p	4.8	8.3	6.1	5.8	2.7	3.5	8.4	8.3	0	5.6	2.5	5.8	2	6.4	4.3	2.6	5.5	2.9	4.6	4.3	0	11.2	3.6	0	4	0	0.8	6.1	0	0	4.5	25.6	4.3	3.5	1.8	3.8	2.4	10.5
hsa-miR-30a-3p	406.5	883.2	292.6	148.4	510.5	326.6	544.7	484.9	618.9	181.7	153.2	108.6	280.5	141.5	169.1	361.2	404.9	352.2	149.9	299.3	501	325.6	535.8	486.8	296.6	304.4	473.5	510.9	713.1	566.5	300.2	145	448.4	531	910.2	558.7	379.2	277.4
hsa-miR-30a-5p	3394.8	5947.1	2678.7	2198.4	3254.5	4951.7	4325.3	3771	6048.3	2739.4	2159.1	3200.3	1652.9	2507.7	2990.7	1973	4874.7	3936.9	2354.1	3333.8	2228.7	3447.3	3012.1	2562.9	2630.1	2214	3406.3	4631.3	6860.7	2723.6	2781	1689.2	4868.8	6004.6	4353.6	3432	1915	2299.9
hsa-miR-30b-3p	7.3	24.8	19.3	13.9	25.1	11.7	47	55.8	55.8	14	17	19.5	31.7	7.2	16	21.7	20.8	11.7	13	17.2	18.9	56.1	19.6	16.6	26	69.2	34.7	54.7	12.7	10.9	30.8	17.1	42.7	17.5	18.8	57	72.3	36.5
hsa-miR-30b-5p	186.3	115.6	197.3	73.7	43.6	269	72.2	63.1	104.2	218	263.5	72.4	55.5	58.7	402.3	30.7	94.4	86.2	65.7	74.7	68.5	33.7	41.7	20.8	182.6	13.8	92	54.7	85.8	76.3	131	196.2	47	102.1	55.8	115.9	24.9	46.2
hsa-miR-30c-1-3p	16.9	49.5	18.2	18	20.9	9	42.1	38.3	40.8	19.6	13.7	6.5	38.5	8.8	11.5	29.1	23.6	14.6	18.5	14.5	18.9	89.8	36.3	16.6	31.3	13.8	31.5	36.5	12.7	54.5	32.7	59.7	42.7	15.5	32.3	64.6	62.8	30.8
hsa-miR-30c-2-3p	12.1	20.6	9.4	14.4	11	19.5	56.1	21.7	43.8	14	12.4	15.2	10.4	12.1	15.4	16.5	17.6	14.6	0.9	9	26	0	17.9	12.5	12	41.5	38.7	57.8	9.5	54.5	19.9	25.6	119.6	16.5	38.2	41.8	29.6	17.8
hsa-miR-30c-5p	7542.2	6013.1	8051.4	1822	3420.7	3981.9	1845.1	1613	3061.1	4536.8	6078.3	1929.4	3165.1	1874.3	6140.1	2856.4	5412.4	4609.1	5017.3	3275.5	2124.7	1549.6	2658.5	1701.7	2920.7	1217.7	3365.2	1347.1	4983.5	1198.4	2376.8	2260.9	1635.7	6235.3	3307.6	2326	1044	991.3
hsa-miR-30d-3p	48.4	53.7	75.5	33.7	48.4	33.5	49.8	79.6	10.6	53.1	37.6	31.8	56.1	42.6	37.7	36.4	48.8	51.1	59.2	40.7	28.4	22.5	29.2	4.2	11.3	27.7	28.2	45.6	46.1	32.7	61.9	42.7	47	34	37	74.1	22.5	47.1
hsa-miR-30d-5p	29880.8	27255.1	30641.2	36448.2	34008.8	20283.5	15706.3	22563.9	18155.5	32171	24407.4	37817.5	28834.2	39646.9	25520	22905.7	34767	29396.8	36995.2	27562.2	21294.2	13317.6	16647.8	11270.9	8581.5	8385.3	14055.2	12835.7	31254.3	15066.8	20673.2	18999.8	14183.5	31714.7	19947.5	14290.6	13860.3	13909.7
hsa-miR-30e-3p	2339.8	2063.5	2422.4	720.8	2614.1	575	1149	1226.3	999.2	620.6	670.2	398	2302.8	709.7	627.9	2067.5	1845.1	1683.5	1762.8	1848.8	1836.4	853.4	1861.5	1368.8	807.8	512	1470.5	915.3	1743.8	1013.2	1380.4	1313.9	1007.9	1682.9	2236.4	1142.1	821.2	822.6
hsa-miR-30e-5p	7636.5	6801.4	9029.5	6955	5154.2	10405.5	12309.8	13169	13544.2	13300	12661.8	11282.9	5259	7608.2	14603.7	5292.1	8683.4	7906	8671.6	8300	3294.6	7523.4	3945.6	3573.9	8594.9	6503.5	11242.6	10406	7691.3	6373.2	14384.1	15135	6303.8	8986.7	4291.3	10436.7	5528.2	9214.2
hsa-miR-31-3p	0	0	0	0.4	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-31-5p	7.3	0	2.2	0.9	0.3	3.5	11.9	2.1	0	2.8	3	2.2	2.5	2.4	6.3	2.6	1.1	0	0	1.2	4.7	0	2.4	0	39.3	0	3.2	0	3.2	0	9	0	29.9	0	5.9	15.2	17.8	8.9
hsa-miR-3115	0	4.1	0	0.9	0	0	2.1	0	0	0	0.5	0.7	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	1.1	0	0	0.5	0	0	0	1.6
hsa-miR-3116	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	2.4	0	0	0.9	0	1.6	0	0	1.5	0	0	1.4	0.2	0	0.2	1.6	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
hsa-miR-3118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	70.2	70.2	74.4	36.9	58.8	17.5	47.7	100.3	74	41.9	41.2	67.3	123.1	37.8	37.5	91.4	81.2	48.2	96.2	41.5	70.9	89.8	52.4	8.3	58.7	13.8	70.2	51.7	60.3	65.4	87.4	25.6	47	58.6	79.3	58.9	66.4	57.6
hsa-miR-3120-5p	9.7	4.1	13.8	7.2	3.3	10.1	11.2	9.3	0	14	4.3	2.9	23.1	7.2	5.9	3.8	2.7	10.2	7.4	7	4.7	11.2	3	0	4	0	5.6	3	6.4	10.9	11.6	0	0	12.5	1.8	15.2	4.7	21.1
hsa-miR-3121-3p	0	0	0.6	0	0	0	0	0	0	0	0.1	0	0	0.8	0	0	0	0	0.9	0.8	0	0	0	0	0	0	0	3	0	0	0	0	0	2.5	0	0	0	0
hsa-miR-3122	0	0	0	0	0	0	0.7	0	0	0	0.1	0	0	0	0	0.2	0	2.9	0	0	0	0	0.6	0	0	0	0	0	0	21.8	0.8	0	0	0	0	0	1.2	0.8
hsa-miR-3124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	4.8	4.1	4.4	0.9	0.9	0.8	0	0	10.6	0	0.9	0	9	0.8	0.7	23.7	6.6	10.2	2.8	3.5	16.5	11.2	13.1	12.5	2.7	0	0	0	4.8	0	7.5	8.5	12.8	3	4.7	17.1	17.8	20.3
hsa-miR-3125	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0
hsa-miR-3126-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-3p	0	0	2.8	2.7	1.2	0.4	4.9	3.1	12.1	8.4	3.4	3.6	5.7	2.4	4.6	6.4	3.3	5.8	1.9	0.4	0	11.2	1.2	0	0	0	4	3	4.8	0	4.9	0	4.3	0	1.2	1.9	8.3	4.1
hsa-miR-3127-5p	2.4	0	0	1.8	3.6	0.4	4.9	2.1	1.5	0	0.5	0.7	0.2	1.6	1.1	1.4	1.1	1.5	0.9	2.7	0	0	0	0	8	0	4	21.3	0	0	1.1	0	0	0	1.8	0	3.6	0
hsa-miR-3128	0	0	0	0	0.6	1.2	0	0	0	2.8	0.1	0	0	0	0.4	0.2	0	1.5	0.9	1.2	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0.5	0	0	2.4	0
hsa-miR-3129-3p	0	0	1.1	0	0	0	0	0	0	0	0.1	1.4	0	0	0.9	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3129-5p	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3130-3p	0	0	0.6	0.9	0.3	1.2	0	2.1	0	0	0.1	1.4	0.2	0	0.4	0.3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0.5	0	0	0	1.6
hsa-miR-3130-5p	0	0	0.6	0.9	0	0	0	0	0	2.8	1.3	0	0	0	0.4	0	0	0	0	0.8	2.4	0	2.4	0	0	0	1.6	0	0	0	1.5	0	0	1.5	0	0	3.6	0
hsa-miR-3131	0	0	0	1.3	0	0.8	0	0	6	0	0	0	0	0	0	0.3	0	0	0.9	0.4	2.4	0	1.2	0	0	0	0	0	0	0	1.1	0	4.3	0	0	0	7.1	0
hsa-miR-3132	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3133	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3134	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0
hsa-miR-3135a	2.4	0	1.1	0.4	1.2	0	1.4	0	0	0	0.6	0	1	0	1.3	2.9	1.6	0	2.8	0.4	9.5	0	0.6	0	2	0	1.6	0	1.6	0	0.8	0	0	1	2.4	9.5	3.6	0.8
hsa-miR-3135b	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	0	8.3	2.8	0	0	0	0	0	0	0	1.4	0	0.6	0.8	0.4	0	0	2.9	2.8	0	0	0	0	0	4	0	3.2	0	0	0	1.9	0	0	2	0	0	1.2	0
hsa-miR-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3138	0	0	1.7	4	0	0	4.2	4.1	18.1	0	1.4	0.7	3.3	2.4	2	0.6	0.5	1.5	0	3.9	0	0	0	0	0	0	0	3	0	0	0	0	4.3	0	0	0	17.8	1.6
hsa-miR-3139	0	0	0.6	0.9	0	0	0.7	0	0	5.6	0.6	0	0	0	0.2	0	0	1.5	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0
hsa-miR-3143	7.3	4.1	11.6	1.3	12.2	11.7	2.8	5.2	0	8.4	10.9	1.4	4.7	4.8	8	7	3.8	4.4	3.7	9.4	2.4	0	6	4.2	2	0	1.6	0	3.2	0	0.8	8.5	4.3	7	14.1	7.6	4.7	13.8
hsa-miR-3145-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3145-5p	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3146	0	0	0.6	0.4	1.5	1.9	0	0	0	0	0.1	3.6	2.5	0	0.2	1.6	2.2	2.9	0.9	1.2	2.4	0	0	4.2	0	0	0	0	0	0	0	0	8.5	0	0	0	2.4	1.6
hsa-miR-3149	0	0	0.6	0	0.6	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-3p	0	0	0	0	0	0.4	0.7	0	0	0	0.1	0	0	0	0.7	0.5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5.9	0.8
hsa-miR-3150a-5p	2.4	0	1.1	0.9	1.2	1.6	3.5	0	3	0	1.6	4.3	1.2	1.6	1.3	1.6	7.1	7.3	1.9	2.7	2.4	0	1.2	0	0.7	0	6.5	0	0	0	0.4	0	4.3	1	1.8	3.8	0	0
hsa-miR-3150b-3p	0	0	0	0	0	0	7	6.2	0	0	0.8	2.2	0.2	0	0	0.5	0	4.4	0.9	5.5	2.4	0	7.7	0	1.3	0	4	6.1	3.2	32.7	2.3	8.5	8.5	0	1.2	0	7.1	8.1
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	0	0	0
hsa-miR-3151-5p	0	0	0	0	1.5	2.3	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1.2	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.8	0	0	0	0	0	4.7	0	0	0	8.3	0	0	0.8	3	0	0	0.4	8.5	0	0.5	0	0	1.2	0
hsa-miR-3155a	0	0	0	0	0	0	0	0	0	0	0.1	0	1.8	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	2.4	7.6	0	0
hsa-miR-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3157-3p	0	0	1.7	0	0.6	0	1.4	2.1	0	0	0.3	0	1.4	0	1.3	1.3	1.1	0	1.9	1.2	0	0	0	0	3.3	0	0	0	1.6	0	1.5	8.5	0	2	0	1.9	3.6	0
